date,price,commodity
2024-06-24,7729.0,cocoa
2024-07-01,7721.0,cocoa
2024-07-08,8523.0,cocoa
2024-07-15,7689.0,cocoa
2024-07-22,8038.0,cocoa
2024-07-29,7520.0,cocoa
2024-08-05,9098.0,cocoa
2024-08-12,8637.0,cocoa
2024-08-19,9821.0,cocoa
2024-08-26,9666.0,cocoa
2024-09-02,9459.0,cocoa
2024-09-09,10079.0,cocoa
2024-09-16,7658.0,cocoa
2024-09-23,8281.0,cocoa
2024-09-30,7069.0,cocoa
2024-10-07,7739.0,cocoa
2024-10-14,7450.0,cocoa
2024-10-21,6770.0,cocoa
2024-10-28,7341.0,cocoa
2024-11-04,7117.0,cocoa
2024-11-11,8607.0,cocoa
2024-11-18,8897.0,cocoa
2024-11-25,9220.0,cocoa
2024-12-02,9767.0,cocoa
2024-12-09,11181.0,cocoa
2024-12-16,11954.0,cocoa
2024-12-23,10124.0,cocoa
2024-12-30,11238.0,cocoa
2025-01-06,10570.0,cocoa
2025-01-13,11173.0,cocoa
2025-01-20,11593.0,cocoa
2025-01-27,10987.0,cocoa
2025-02-03,10018.0,cocoa
2025-02-10,10159.0,cocoa
2025-02-17,8934.0,cocoa
2025-02-24,9014.0,cocoa
2025-03-03,8141.0,cocoa
2025-03-10,7728.0,cocoa
2025-03-17,7765.0,cocoa
2025-03-24,8042.0,cocoa
2025-03-31,8512.0,cocoa
2025-04-07,8511.0,cocoa
2025-04-14,8365.0,cocoa
2025-04-21,9652.0,cocoa
2025-04-28,9127.0,cocoa
2025-05-05,9387.0,cocoa
2025-05-12,10898.0,cocoa
2025-05-19,9764.0,cocoa
2025-05-26,9791.0,cocoa
2025-06-02,10259.0,cocoa
2025-06-09,9768.0,cocoa
2025-06-16,8459.0,cocoa
2025-06-23,9231.0,cocoa
2025-06-30,8780.0,cocoa
2025-07-07,8840.0,cocoa
2025-07-14,7800.0,cocoa
2025-07-21,8329.0,cocoa
2025-07-28,8232.0,cocoa
2025-08-04,8526.0,cocoa
2025-08-11,8235.0,cocoa
2025-08-18,7582.0,cocoa
2025-08-25,7635.0,cocoa
2025-09-01,7382.0,cocoa
2025-09-08,7315.0,cocoa
2025-09-15,7243.0,cocoa
2025-09-22,6908.0,cocoa
2025-09-29,6190.0,cocoa
2025-10-06,5848.0,cocoa
2025-10-13,5895.0,cocoa
2025-10-20,6319.0,cocoa
2025-10-27,6151.0,cocoa
2025-11-03,6013.0,cocoa
2025-11-10,5287.0,cocoa
2025-11-17,5084.0,cocoa
2025-11-24,5404.0,cocoa
2025-12-01,5643.0,cocoa
2025-12-08,6226.0,cocoa
2025-12-15,5845.0,cocoa
2025-12-22,5953.0,cocoa
2025-12-29,5871.0,cocoa
2026-01-05,5345.0,cocoa
2026-01-12,5076.0,cocoa
2026-01-19,4201.0,cocoa
2026-01-26,4165.0,cocoa
2026-02-02,4197.0,cocoa
2026-02-09,3581.0,cocoa
2026-02-16,3080.0,cocoa
2026-02-23,2798.0,cocoa
2026-03-02,3138.0,cocoa
2026-03-09,3205.0,cocoa
